//  PatLen	   TextLen	  Naive-RT	    KMP-RT
      1000	    410000	      4153	      3199
     10000	    410000	      4425	      4390
    100000	    410000	      4765	      2725
        10	    420000	      4412	      3285
       100	    420000	      4373	      3321
      1000	    420000	      4298	      3630
     10000	    420000	      4281	      3186
    100000	    420000	      5300	      4158
        10	    430000	      4700	      3636
       100	    430000	      4561	      3427
      1000	    430000	      4489	      3479
     10000	    430000	      4444	      3094
    100000	    430000	      5363	      2744
        10	    440000	      4609	      3378
       100	    440000	      4588	      3682
      1000	    440000	      4889	      3513
     10000	    440000	      4577	      3331
    100000	    440000	      5113	      4497
        10	    450000	      4573	      3795
       100	    450000	      4702	      3668
      1000	    450000	      4612	      3783
     10000	    450000	      4778	      3160
    100000	    450000	      5247	      4358
        10	    460000	      4827	      3672
       100	    460000	      4854	      3674
      1000	    460000	      5628	      3584
     10000	    460000	      5363	      3815
    100000	    460000	      5354	      2708
        10	    470000	      5194	      3626
       100	    470000	      5479	      4090
      1000	    470000	      4575	      3737
     10000	    470000	      4863	      3675
    100000	    470000	      5848	      2902
        10	    480000	      4959	      3847
       100	    480000	      5096	      3707
      1000	    480000	      5366	      3885
     10000	    480000	      4955	      3518
    100000	    480000	      5582	      2836
        10	    490000	      5679	      3986
       100	    490000	      5151	      3855
      1000	    490000	      4899	      4137
     10000	    490000	      5216	      3565
    100000	    490000	      5669	      2888
        10	    500000	      5260	      3914
       100	    500000	      5430	      3947
      1000	    500000	      5412	      3990
     10000	    500000	      5185	      3790
    100000	    500000	      6111	      3008
        10	    510000	      5333	      4197
       100	    510000	      5130	      4176
      1000	    510000	      5026	      4352
     10000	    510000	      5096	      3682
    100000	    510000	      5911	      3000
        10	    520000	      5856	      4171
       100	    520000	      5538	      4075
      1000	    520000	      5264	      4466
     10000	    520000	      5488	      3926
    100000	    520000	      6243	      3190
        10	    530000	      5549	      4351
       100	    530000	      5521	      4341
      1000	    530000	      5236	      4143
     10000	    530000	      5383	      4500
    100000	    530000	      6558	      3075
        10	    540000	      5533	      4807
       100	    540000	      5651	      4453
      1000	    540000	      5615	      4580
     10000	    540000	      6232	      3826
    100000	    540000	      6247	      3422
        10	    550000	      5563	      4637
       100	    550000	      6107	      4525
      1000	    550000	      5889	      4612
     10000	    550000	      5515	      4198
    100000	    550000	      6680	      4987
        10	    560000	      5439	      4455
       100	    560000	      6919	      4429
      1000	    560000	      5789	      4387
     10000	    560000	      5543	      4130
    100000	    560000	      6494	      4437
        10	    570000	      5984	      4483
       100	    570000	      5599	      4486
      1000	    570000	      5964	      4669
     10000	    570000	      6101	      4274
    100000	    570000	      6907	      3216
        10	    580000	      6036	      4794
       100	    580000	      6010	      4814
      1000	    580000	      5602	      4613
     10000	    580000	      6208	      4037
    100000	    580000	      6806	      3325
        10	    590000	      6175	      5000
       100	    590000	      6150	      5127
      1000	    590000	      6624	      4564
     10000	    590000	      6531	      4526
    100000	    590000	      6857	      5069
        10	    600000	      6434	      4819
       100	    600000	      6249	      4942
      1000	    600000	      6198	      4812
     10000	    600000	      5903	      4490
